x,y
-21.809511365086347,-62.983120982898924
-22.2168693500479,-63.5532767475447
-21.556787202569172,-64.30447017042583
-20.85540784222113,-65.01712583821316
-20.148301061034584,-65.72423261939971
-19.44119427984804,-66.43133940058627
-18.705009495530504,-67.10770982321702
-17.92095008722501,-67.61624330739251
-17.188744060878612,-68.23057908516421
-16.4452422693705,-68.82038290509455
-15.71947881378283,-69.26184160244077
-14.996095095290507,-69.60838831213847
-14.156061333103253,-70.11643249070242
-13.459413442803845,-70.47743665462104
-12.665472444798716,-71.0854314668412
-11.937693564632982,-71.42729597075592
-11.139129743332331,-71.66158724887049
-10.26612792415593,-71.97572148587197
-9.462604980208479,-72.44365646475397
-8.682540936236554,-72.75086615194714
-7.956979874704386,-73.08476388250868
-7.217178004579573,-73.40772577275337
-6.38118464421843,-73.76395143670518
-5.518519605722755,-74.24191733008571
-4.7655981378194205,-74.59007264963687
-3.96003081052469,-74.85802122316537
-3.1376717371050433,-75.2104472584278
-2.345445439325886,-75.49836736077565
-1.6164121341036404,-75.83863983334088
-0.860478975030459,-76.18201037779004
0.021485569543419958,-76.65332613406665
0.8247473243573137,-76.94836394610833
1.692290263090205,-77.44572623805928
2.5098318094327756,-77.69561454886315
3.346250565693441,-78.05599409724131
4.132999173637943,-78.35276638974621
4.904278910911999,-78.6729354306138
5.72709843431118,-79.02452402558343
6.586626254890808,-79.4430972593786
7.4255204163667905,-79.74774232329864
8.258833335259826,-80.13971145518249
9.13583603290564,-80.45278127434153
9.998169093969251,-80.72274101576963
10.864924320245112,-80.98169178415374
11.825265408648898,-81.2605196771692
12.564021974261902,-81.37465031453159
13.516622936553425,-81.67887294130558
14.455247863780436,-81.80192098289892
15.455247863780436,-81.80192098289892
16.455247863780436,-81.80192098289892
17.455247863780436,-81.80192098289892
18.455247863780436,-81.80192098289892
19.40672902749727,-81.7739028239122
20.34772154671019,-81.43547546274687
20.974328598793534,-81.33162579259472
21.835198090454337,-80.82279996942172
22.637143323329997,-80.40302805231023
23.38021707410176,-79.73409387615985
24.075090327730305,-79.01533858838287
24.73517247520904,-78.26414516550176
25.10364673450647,-77.42316551289176
25.47709537641361,-76.61363511063065
25.843926707630914,-75.68334764192147
25.86265129259246,-74.99925727448108
26.1309047857701,-74.03590891412644
26.23848863491368,-73.14592709994841
26.243643708896432,-72.1462143934842
26.354759089953244,-71.15240688088802
26.495758480488366,-70.23798861869803
26.565783703626256,-69.24213048422324
26.638888634913656,-68.24620733819417
26.638888634913656,-67.24620733819417
26.638888634913656,-66.24620733819417
26.638888634913656,-65.24620733819417
26.607286727991514,-64.24768566259824
26.502502036832002,-63.25355552056017
26.36934420081533,-62.47454234565583
26.31856863491366,-61.479537779149915
26.31856863491366,-60.47953777914991
26.313255000696458,-59.479584780642305
26.006472332155727,-58.560165301909755
25.838088634913646,-57.699267701894435
25.838088634913646,-56.69926770189445
25.838088634913646,-55.852574263903406
25.71733049009867,-54.93847250266888
25.47876638255088,-54.11459440106251
25.032803222996304,-53.219543083919135
24.39991693555856,-52.48152287791759
23.614295881981455,-52.165919934362826
22.673260966040367,-51.82761047989881
22.017957766218256,-51.76063386903276
21.102068699697078,-52.16206532996596
20.358991359103985,-52.73995520757152
19.96975986139825,-53.66109517586827
19.580528363692515,-54.582235144165026
19.543532581351805,-54.989898130813096
19.44958523991212,-55.98545313391695
19.43168863491364,-56.98461593798493
19.43168863491364,-57.98461593798493
19.43168863491364,-58.98461593798492
19.43168863491364,-59.98461593798492
19.43168863491364,-60.98461593798493
19.43168863491364,-61.98461593798493
19.352870549590648,-62.97681140951392
