x,y
-21.809511365086347,-62.983120982898924
-21.713111904765103,-63.47374012648157
-21.61671244444386,-63.96435927006422
-21.520312984122615,-64.45497841364687
-21.172778616549525,-64.79871717901544
-20.79241872576676,-65.1232573976074
-20.44879801746507,-65.48494249298366
-20.120100413651496,-65.86171548199324
-19.78770957401044,-66.23517357180798
-19.44851293127794,-66.60252304786451
-19.06404678575093,-66.91187581502628
-18.6253315601993,-67.1517277503305
-18.186616334647667,-67.39157968563472
-17.770982717685655,-67.66209839700377
-17.41908972803,-68.01730442712038
-17.03421104679396,-68.33622374174068
-16.64715317136234,-68.65274578057267
-16.242610066116043,-68.94430447130978
-15.812873416572486,-69.19989479201672
-15.38313676702893,-69.45548511272366
-14.953400117485373,-69.71107543343061
-14.512997903087424,-69.94416571137522
-14.04309689111187,-70.11502541681905
-13.60145204609248,-70.34751464754582
-13.165330982557336,-70.59205179797694
-12.72920991902219,-70.83658894840806
-12.28512169472433,-71.06598314134663
-11.83657202935169,-71.28689759921232
-11.411938706527016,-71.54997949156149
-10.992133860325541,-71.82157457823602
-10.549365354817686,-72.0515199063897
-10.095556660771928,-72.2614142743361
-9.636488940674505,-72.45954763438573
-9.177421220577084,-72.65768099443537
-8.718353500479662,-72.85581435448499
-8.25928578038224,-73.05394771453462
-7.804956002527612,-73.26271031414409
-7.349122841334555,-73.46796282909229
-6.884752296890083,-73.653327327992
-6.420381752445611,-73.83869182689172
-5.970231169467934,-74.05629867674514
-5.520214698926926,-74.27420961323485
-5.060962288355982,-74.47170178023934
-4.59963150135401,-74.66441771477443
-4.129678457990203,-74.83513425478475
-3.6597254146263962,-75.00585079479507
-3.1787140832391922,-75.14168069201266
-2.6962303256233207,-75.27286538485777
-2.26501438715178,-75.51250757253618
-1.8573972639193532,-75.80207324876132
-1.4087814382815294,-76.02091369468697
-0.954934450819348,-76.23073007148226
-0.5010874633571667,-76.44054644827754
-0.04724047589498559,-76.65036282507283
0.4326678238120552,-76.78801139095204
0.9090361657742384,-76.9332228485793
1.3435279218498195,-77.18064336895375
