x,y
-21.809511365086347,-62.983120982898924
-21.61671244444386,-63.96435927006422
-21.172778616549525,-64.79871717901544
-20.44879801746507,-65.48494249298366
-19.78770957401044,-66.23517357180798
-19.06404678575093,-66.91187581502628
-18.186616334647667,-67.39157968563472
-17.41908972803,-68.01730442712038
-16.64715317136234,-68.65274578057267
-15.812873416572486,-69.19989479201672
-14.953400117485373,-69.71107543343061
-14.04309689111187,-70.11502541681905
-13.165330982557336,-70.59205179797694
-12.28512169472433,-71.06598314134663
-11.411938706527016,-71.54997949156149
-10.549365354817686,-72.0515199063897
-9.636488940674505,-72.45954763438573
-8.718353500479662,-72.85581435448499
-7.804956002527612,-73.26271031414409
-6.884752296890083,-73.653327327992
-5.970231169467934,-74.05629867674514
-5.060962288355982,-74.47170178023934
-4.129678457990203,-74.83513425478475
-3.1787140832391922,-75.14168069201266
-2.26501438715178,-75.51250757253618
-1.4087814382815294,-76.02091369468697
-0.5010874633571667,-76.44054644827754
0.4326678238120552,-76.78801139095204
1.3435279218498195,-77.18064336895375
2.2359277260083363,-77.6286477619771
3.1749535141630503,-77.9625585665069
4.121524377697598,-78.2671345075527
5.010988663406491,-78.72413919510892
5.921314194109711,-79.13048488712298
6.868929776303795,-79.44852585934935
7.800060373712052,-79.81318801659006
8.730855978306394,-80.17818167808625
9.649531725125478,-80.57307104861086
10.598107823576619,-80.88962023190977
11.550447320019462,-81.19457928044875
12.441024900432145,-81.39840649878178
13.337849593685423,-81.58012979070068
14.298521523211669,-81.85781566326233
15.294318084012158,-81.82795395867542
16.2738050411172,-81.68962910083502
17.27135959644891,-81.67753687293487
18.26598511540921,-81.78104288579988
19.251698448557157,-81.82423954305825
20.188992266940605,-81.47569930431935
21.133710119828194,-81.14844911657676
22.080273315642312,-80.83087655878839
22.854280496144327,-80.19769973946276
23.67113523764476,-79.70209510678255
24.270273917732556,-78.98945450947124
24.832901053431858,-78.16274373406378
25.199968497675858,-77.3306270358212
25.610391937056107,-76.44839085182502
25.76429261539045,-75.46030452907371
26.007207388167913,-74.49055566145198
26.256367835546587,-73.52209344150633
26.263624063963714,-72.5314992120598
26.30971535566638,-71.53256198038346
26.44927554200023,-70.54897364306483
26.5095924282918,-69.56275565219116
26.512555174578118,-68.56277438469465
26.5814336380927,-67.56514932623638
26.61192619971277,-66.56579285973318
26.70280741721191,-65.57122592799614
26.668981949118066,-64.58758505023349
26.441797881414953,-63.613733213770736
26.313288412995565,-62.66675963039303
26.12047879843715,-61.68552344448577
26.163559613057096,-60.68712814818951
26.228398135319168,-59.68925814990133
26.074402385533197,-58.71378576086664
25.913256257209703,-57.735601105851465
25.89603417425768,-56.73610525409765
25.905727193603987,-55.745376473129525
25.566446729595597,-54.80608506875466
25.232237532658612,-53.908191625990945
24.78581148991638,-53.01337109182696
24.09521281131992,-52.3007476204317
23.188460090581017,-51.97220754941489
22.20861849299926,-51.837620769493796
21.240582096369785,-52.0884305276784
20.342003864587102,-52.42513955445899
20.061650113124685,-53.385036306219796
19.781296361662267,-54.34493305798061
19.58501867081684,-54.904304843647914
19.414593477375963,-55.889675460949164
19.294765286394874,-56.878982191474705
19.317207355847067,-57.87845327598971
19.425120585179403,-58.872613592505644
19.535382639705652,-59.8655670981059
19.55472890971214,-60.862795962320966
19.419203052408484,-61.85356977202836
19.389842990818327,-62.85299671524017
19.339667048009865,-63.85167908255933
19.340997976861455,-64.8453586796418
19.19597545657679,-65.83478703410225
18.971969009453087,-66.79671634120157
18.499567698044824,-67.67586463963764
18.147715000478485,-68.6113464647275
17.92123828039098,-69.58536304326115
17.415138785401652,-70.4411745398648
16.89632163769164,-71.29605977616384
16.451357720330474,-72.14680513027658
15.570951577727177,-72.56900350679
14.604942589311918,-72.8275119869235
13.706687813760807,-72.94312565699992
12.756936167453912,-72.63012116767536
11.791742613133218,-72.37158353979474
10.819034543931151,-72.1395511883668
10.034568084791003,-72.14505141090561
9.062143628116777,-71.91183332399588
8.088362207439074,-71.68437556661512
7.237733858280766,-71.3643987691552
6.344524949565047,-71.10381080942688
5.378932824759903,-70.90724886005698
4.394525797234433,-70.73134319170467
3.4132758136917714,-70.53957331760192
2.4365239934413836,-70.32520008784232
1.6055163379514972,-69.78250997738833
0.7154893980346233,-69.33150155549306
-0.17166038566808667,-68.87012919739934
-1.065198080901446,-68.42214434208323
-1.9717300040195773,-68.11804020030182
-2.8521338909569476,-67.87241226253848
-3.702081602787251,-67.34569652878695
-4.5849401485185135,-66.89833768484228
-5.54565462610168,-66.63721136592494
-6.400707404901255,-66.11891641593205
-7.239528358619285,-65.5745090247225
-8.090652676152247,-65.05357599340313
-8.940667826164882,-64.52681775213016
-9.790682976177518,-64.00005951085717
-10.552299267686148,-63.559663997916736
-11.253741478095627,-62.84693766512422
-11.986697959741289,-62.16672775400947
-12.516026311306467,-61.32512047617388
-12.970076655231612,-60.43475898066419
-13.198618233285513,-59.468607703352745
-13.30826674936435,-58.4858321932325
-13.097814764873123,-57.50822799815981
-12.944850372806314,-56.573364509273894
-12.596346294839769,-55.85527985449279
-12.027622918117004,-55.032750997388646
-11.476932711095822,-54.236730311615695
-10.55400766165181,-53.85175063278999
-9.710774322210801,-53.31512537997455
-8.773455697683659,-52.97231421645
-7.800050868740324,-52.759161418717106
-6.960371501384329,-52.47379469509445
-6.000213224876058,-52.194337929113274
-5.0345811045085735,-51.9349306667326
-4.0641174100677455,-51.69432052862207
-3.0836096083125426,-51.497840375178555
-2.138307271375933,-51.183335163768795
-1.1987455794067734,-50.85305850559901
-0.21038147085572256,-50.70095200038614
0.5240777634365609,-50.552063995603945
1.4693358328354411,-50.22574025721475
2.4277794703620765,-49.94250910665175
3.3416052297886294,-49.659488211138985
4.301722139494113,-49.379889356174274
5.215748477599384,-49.14113972769724
6.174206120724307,-48.86021001497333
7.157074173964039,-48.67589943491695
8.032550518376642,-48.204785019236674
8.911631683887771,-47.72839098571559
9.793398560635653,-47.31794911992741
10.672351128314405,-46.85138977584143
11.558031177475842,-46.38796981745663
12.464216957697744,-45.965321615043074
13.344117513406909,-45.49211583137569
14.199370108131106,-44.97390448528462
14.98891347997519,-44.697595502065894
15.8083950086843,-44.124534576368724
16.706980730989773,-43.68573655943069
17.596498878091406,-43.23029954734929
18.45540296269905,-42.71824079689068
19.320988033758358,-42.21747889262952
20.121424028634824,-42.012228651842136
20.989643952694898,-41.516049084079484
21.862667215485573,-41.02838346328059
22.734197800840768,-40.538211535817254
23.60659876703637,-40.05954200948551
24.539320574271784,-39.70929293622549
25.41869555859185,-39.233163083189496
26.29106222654803,-38.74452214703885
27.15142184496665,-38.235032506328324
28.001251122880287,-37.707975136258774
28.862202263183807,-37.20039909679766
29.76255481468861,-36.767201490453
30.68749527679374,-36.387089478592344
31.554986670806098,-35.90066159237494
32.464160640946325,-35.505463281134766
33.349461362358554,-35.04957411413689
34.21253090419291,-34.54448900649876
35.026517505171476,-33.966313512048195
35.91318863614156,-33.54648106292369
36.764383599847946,-33.06339387008029
37.61955874921068,-32.554326170408984
38.510206392633464,-32.099632014667506
39.422468712956956,-31.690299290205015
40.28147832860341,-31.337350999701712
41.11212567119824,-30.78055212017684
41.94277301379307,-30.223753240651966
42.714070173508794,-30.01545935310666
43.528008866691444,-29.450181552223828
44.306015491155925,-28.82437458273826
45.16928067691057,-28.319623932353345
45.96827914036185,-27.748342112103117
46.5120112317256,-26.909285751098132
47.080885453259654,-26.086861213481434
47.68728641847341,-25.292087018083215
48.135181068094596,-24.41146893720985
48.38385413788612,-23.44709217295753
48.5488559663357,-22.46079891200099
48.632470475065965,-21.467407921325897
48.581291536719355,-20.468821574869885
48.50462743070128,-19.475862019096315
48.27368172134352,-18.502895380752918
48.00629649657406,-17.5401227988127
47.708781754428635,-16.585636023303234
47.421498514469114,-15.628923252083801
47.06977615485507,-14.692818887310557
46.69872701733816,-13.764990991217003
46.24206521742307,-12.8753506141554
45.78540341750798,-11.985710237093796
45.54193549846382,-11.132155841945114
45.13287555448039,-10.219648328426304
44.75022319473513,-9.309235984351526
44.35863693294095,-8.389385561787641
43.987217117949584,-7.4616367748862364
43.64679395141917,-6.521364437906459
43.321973165416466,-5.575703461408398
42.955599001853805,-4.64727795487519
42.49335854900162,-3.7618970494065405
42.075650093635396,-2.8597562105935124
41.66069192797637,-2.057566596906174
41.24048736078222,-1.1508436935633006
40.87613939689889,-0.2195808084368338
40.56196769877634,0.6422346944163534
39.95107271134052,1.433946330257191
39.35942747108157,2.2390283910649025
38.483020583799004,2.6420427571260388
37.531026781782174,2.948160056411049
36.559855988878454,3.1844778036005446
35.57361220830509,3.3497751274759047
34.58822322048818,3.5200129452509183
33.62480386813125,3.505704558645562
32.67979765962452,3.605154890484658
31.725442898529085,3.9038302827995954
30.784968951350894,3.78307129199105
29.813136926823177,4.018745889905977
28.835991511677573,3.836732295798203
27.84768386600658,3.6892575219926607
26.855610019893266,3.5636013090226526
25.94641306433347,3.1500696075962975
25.00479923786659,2.819584085522595
24.058155343807467,2.4983757038283216
23.12152427810914,2.148170879972287
22.216928914880175,1.7288833551201028
21.32421850879742,1.2851992376499426
20.5190859391901,0.9464765060907633
19.544869059163393,0.7243729520154718
18.617923302697626,0.3491775834804835
17.74704597475612,-0.14190525876802057
16.883850125789966,-0.6461583168138761
16.04370348945739,-1.1876492118439677
15.245991027204898,-1.7901821480459839
14.449902280288569,-2.395362044467862
13.745673214743546,-3.103046652598336
13.079620891120586,-3.8489399913014117
12.413988983563895,-4.595220209210485
11.817357284820455,-5.365754560411778
11.20444513876996,-6.148704732199364
10.511152871183045,-6.854427989774977
10.014842784465495,-7.720666432191669
9.418969233063388,-8.523744704055266
8.859312532487778,-9.11150445158367
8.607909894837313,-10.07938704455783
8.35650725718685,-11.04726963753199
8.435737415759858,-12.04033056394134
8.489765567597551,-13.036992815846636
8.545668672397968,-14.027655394076373
8.806963461988861,-14.992914443727104
9.068258251579753,-15.958173493377835
9.06814455576479,-16.839208395779462
9.278571289047525,-17.816818026419387
9.594856828710686,-18.572922457220816
9.831465852999198,-19.54282132057819
10.173377409993178,-20.482553456452
10.431194438939656,-21.447371391422596
10.689493870816328,-22.41221598148075
11.02138975219825,-23.35553200695776
11.328050253513599,-24.307096554690524
11.5848412581646,-25.257333271734034
11.825667377304855,-26.2279015487449
12.056941243909836,-27.18783844743077
12.265351367465627,-28.1658799702709
12.513173746988949,-29.12982798988147
12.661273482536684,-30.095136195733126
12.342561876001191,-31.04298793090039
11.947529948660074,-31.957024986774012
11.232510110993605,-32.60080060473367
10.409686006887725,-33.15918092810685
9.53584252344384,-33.608079006055654
8.588860894158664,-33.92936671792213
7.647263677892717,-34.26551467408209
